City,Address,Coordinates
Наименование города/района,Фактический адрес торговых объектов ,"(48.22672113558824, 38.35517812530095)"
Амвросиевский муниципальный округ,"г. Амвросиевка,","(47.883914168072366, 38.783853635504045)"
Амвросиевский муниципальный округ,"ул, Мичурина, 1","(47.42331491134141, 38.743469644491725)"
Амвросиевский муниципальный округ,"ул. Фрунзе, 24","(46.3806020026945, 39.21369477756711)"
Амвросиевский муниципальный округ,"г. Амвросиевка, ул, Мичурина, 4а","(49.134609335541086, 38.500415766586734)"
Амвросиевский муниципальный округ,г. Амвросиевка,"(49.12488039414683, 39.139956131784054)"
Амвросиевский муниципальный округ,"ул. Ленина, 2","(49.58639950928165, 37.50734640693894)"
Амвросиевский муниципальный округ,"ул. Свободы, 13","(47.479881943270826, 36.63153063284211)"
Амвросиевский муниципальный округ,"ул. Краснодонцев, 32а","(49.54947135570252, 38.03113003007684)"
Амвросиевский муниципальный округ,"ул. Краснодонцев, 99, ","(46.52319117369851, 36.192996712953175)"
Амвросиевский муниципальный округ,г. Амвросиевка,"(47.98145629913344, 36.00957580960269)"
Амвросиевский муниципальный округ,"ул. Суворова, 26, Донецкое шоссе, 3","(48.773702838934355, 36.92457601025601)"
Амвросиевский муниципальный округ,г. Амвросиевка,"(49.64688147294178, 37.14097475575367)"
Амвросиевский муниципальный округ,ул. 2-я Пятилетка,"(46.20802867699576, 37.56363638885018)"
Амвросиевский муниципальный округ,"ул. Ленина, 26","(48.36004922888262, 36.643307527583076)"
Амвросиевский муниципальный округ,"ул. Фрунзе, 12","(46.583681931390494, 37.23556885828441)"
Амвросиевский муниципальный округ,"ул. Мичурина, 81","(49.02304306080023, 39.430114477428816)"
Амвросиевский муниципальный округ,"ул. Фрунзе, 8","(47.71380159366937, 37.929006873184534)"
Амвросиевский муниципальный округ,"ул. Фрунзе, 2а","(48.98813805581765, 38.334340492458615)"
Амвросиевский муниципальный округ,г. Амвросиевка,"(48.578930784604744, 39.50528310832322)"
Амвросиевский муниципальный округ,"ул. Молодежная, 38","(48.39150384700015, 37.61661358027303)"
Амвросиевский муниципальный округ,г. Амвросиевка,"(46.21899696905373, 38.52644858867105)"
Амвросиевский муниципальный округ,"ул. Волгоградская, 50","(47.964233297817586, 36.22621989601372)"
Амвросиевский муниципальный округ,г. Амвросиевка,"(47.94030456852722, 39.265990126547784)"
Амвросиевский муниципальный округ,"ул. Интернациональная, 9","(49.067220705111616, 37.05705463531543)"
